Entity,Year,Population - Sex: all - Age: all - Variant: estimates
Bangladesh,1950,41206858
Bangladesh,1951,42022310
Bangladesh,1952,42893013
Bangladesh,1953,43791389
Bangladesh,1954,44741297
Bangladesh,1955,45767687
Bangladesh,1956,46854418
Bangladesh,1957,48004665
Bangladesh,1958,49184052
Bangladesh,1959,50441766
Bangladesh,1960,51828663
Bangladesh,1961,53310344
Bangladesh,1962,54881155
Bangladesh,1963,56504405
Bangladesh,1964,58178373
Bangladesh,1965,59902521
Bangladesh,1966,61669811
Bangladesh,1967,63510933
Bangladesh,1968,65408278
Bangladesh,1969,67294130
Bangladesh,1970,69058900
Bangladesh,1971,70276759
Bangladesh,1972,71641525
Bangladesh,1973,73722297
Bangladesh,1974,75839350
Bangladesh,1975,77854353
Bangladesh,1976,79855319
Bangladesh,1977,81867267
Bangladesh,1978,83889659
Bangladesh,1979,85935069
Bangladesh,1980,88016436
Bangladesh,1981,90303105
Bangladesh,1982,92814506
Bangladesh,1983,95335162
Bangladesh,1984,97814966
Bangladesh,1985,100253825
Bangladesh,1986,102635570
Bangladesh,1987,104959291
Bangladesh,1988,107216011
Bangladesh,1989,109433805
Bangladesh,1990,111633723
Bangladesh,1991,113787112
Bangladesh,1992,115952198
Bangladesh,1993,118132363
Bangladesh,1994,120343183
Bangladesh,1995,122600371
Bangladesh,1996,124862185
Bangladesh,1997,127198069
Bangladesh,1998,129622333
Bangladesh,1999,132108064
Bangladesh,2000,134544303
Bangladesh,2001,136805812
Bangladesh,2002,138933659
Bangladesh,2003,140970356
Bangladesh,2004,142902855
Bangladesh,2005,144715789
Bangladesh,2006,146405982
Bangladesh,2007,147989283
Bangladesh,2008,149474264
Bangladesh,2009,150873716
Bangladesh,2010,152201977
Bangladesh,2011,153591075
Bangladesh,2012,155070111
Bangladesh,2013,156532135
Bangladesh,2014,157964931
Bangladesh,2015,159383180
Bangladesh,2016,160811935
Bangladesh,2017,162186147
Bangladesh,2018,163523108
Bangladesh,2019,164913060
Bangladesh,2020,166298024
Bangladesh,2021,167658855
Bangladesh,2022,169384890
Bangladesh,2023,171466986
Brazil,1950,53408551
Brazil,1951,55018849
Brazil,1952,56694871
Brazil,1953,58433756
Brazil,1954,60235123
Brazil,1955,62101394
Brazil,1956,64033997
Brazil,1957,66031498
Brazil,1958,68092148
Brazil,1959,70214470
Brazil,1960,72388123
Brazil,1961,74605442
Brazil,1962,76865320
Brazil,1963,79164239
Brazil,1964,81488598
Brazil,1965,83817586
Brazil,1966,86139354
Brazil,1967,88446120
Brazil,1968,90741242
Brazil,1969,93045769
Brazil,1970,95375656
Brazil,1971,97739280
Brazil,1972,100146796
Brazil,1973,102600971
Brazil,1974,105089675
Brazil,1975,107619568
Brazil,1976,110213352
Brazil,1977,112875286
Brazil,1978,115600942
Brazil,1979,118380820
Brazil,1980,121207450
Brazil,1981,124063113
Brazil,1982,126923156
Brazil,1983,129790082
Brazil,1984,132658862
Brazil,1985,135515593
Brazil,1986,138336371
Brazil,1987,141104946
Brazil,1988,143826358
Brazil,1989,146502977
Brazil,1990,149143224
Brazil,1991,151724253
Brazil,1992,154275077
Brazil,1993,156794574
Brazil,1994,159265011
Brazil,1995,161735079
Brazil,1996,164202549
Brazil,1997,166661663
Brazil,1998,169159651
Brazil,1999,171641544
Brazil,2000,174018276
Brazil,2001,176301200
Brazil,2002,178503483
Brazil,2003,180622688
Brazil,2004,182675143
Brazil,2005,184688101
Brazil,2006,186653099
Brazil,2007,188552310
Brazil,2008,190367297
Brazil,2009,192079956
Brazil,2010,193701931
Brazil,2011,195284736
Brazil,2012,196876114
Brazil,2013,198478291
Brazil,2014,200085126
Brazil,2015,201675534
Brazil,2016,203218108
Brazil,2017,204703440
Brazil,2018,206107265
Brazil,2019,207455459
Brazil,2020,208660845
Brazil,2021,209550291
Brazil,2022,210306411
Brazil,2023,211140731
China,1950,544044354
China,1951,553758251
China,1952,565131436
China,1953,577557142
China,1954,590113861
China,1955,603547012
China,1956,616558585
China,1957,630356210
China,1958,644219484
China,1959,652708210
China,1960,654802066
China,1961,655773482
China,1962,665073692
China,1963,684552645
China,1964,704798265
China,1965,723415737
China,1966,742402209
China,1967,761026025
China,1968,781011031
China,1969,802140343
China,1970,823308968
China,1971,844069870
China,1972,863677811
China,1973,882576941
China,1974,900307583
China,1975,916116795
China,1976,930372293
China,1977,943546379
China,1978,956161484
China,1979,969288069
China,1980,983163545
China,1981,997721068
China,1982,1013588169
China,1983,1029064952
China,1984,1043849645
China,1985,1059807821
China,1986,1077233612
China,1987,1096217446
China,1988,1115244161
China,1989,1133991005
China,1990,1153582718
China,1991,1170788527
China,1992,1184574240
China,1993,1197308569
China,1994,1209003100
China,1995,1220133927
China,1996,1230944812
China,1997,1241139619
China,1998,1250847121
China,1999,1260176650
China,2000,1269581164
China,2001,1278725057
China,2002,1286866839
China,2003,1294517315
China,2004,1302100319
China,2005,1310027138
China,2006,1318054037
China,2007,1325813580
China,2008,1333821009
China,2009,1342522709
China,2010,1351561511
China,2011,1360250657
China,2012,1369520865
China,2013,1379008046
China,2014,1387951973
China,2015,1396134164
China,2016,1404052626
China,2017,1412354742
China,2018,1419008963
China,2019,1423520354
China,2020,1426106083
China,2021,1426437276
China,2022,1425179562
China,2023,1422584937
Democratic Republic of Congo,1950,12294294
Democratic Republic of Congo,1951,12542651
Democratic Republic of Congo,1952,12803639
Democratic Republic of Congo,1953,13069453
Democratic Republic of Congo,1954,13343040
Democratic Republic of Congo,1955,13630351
Democratic Republic of Congo,1956,13929949
